,xdot <= -0.57,thetadot > 1.28,theta <= -1.44,-0.20 < x <= 0.02,thetadot <= -1.13,theta > 1.22,0.02 < x <= 0.29,xdot > 0.63,x <= -0.20,-0.57 < xdot <= 0.00,-1.44 < theta <= 0.00,0.00 < thetadot <= 1.28,0.00 < theta <= 1.22,-1.13 < thetadot <= 0.00,0.00 < xdot <= 0.63,x > 0.29,instance_index
78,,,,,,,0.0065447560965069965,,,-0.6586856227723183,0.016297414053984383,0.019842976277449784,,,,,78
79,-0.6645390594205348,,,,,,-0.004817676573659929,,,,,-0.016435993955376847,-0.00802730108601379,,,,79
80,,,,0.0027781786121845106,,,,,,-0.648641602249665,,0.0030565975665003613,0.013251745468553752,,,,80
81,-0.6630167856044691,-0.004968373354364024,,,,0.007133018200458741,0.007235826591918321,,,,,,,,,,81
82,,,,-0.012992083288526607,,,,,,,,,-0.004359604039801083,0.03192157341731897,0.6708398470734115,,82
83,-0.6653782100713983,,,,0.005020757629998409,-0.0013393531834079283,,,-0.0016674469773345164,,,,,,,,83
84,,,,,,,,,,-0.65902107653402,-0.0133277578288272,-0.00637917367827524,,,,-0.007591994852062125,84
85,-0.6733448433049904,9.060118184930956e-05,,,,,,,0.025716309935653624,,-0.013745060840657198,,,,,,85
86,-0.662769079840165,,,,,,,,0.002943450080114198,,,-0.00570353298742328,-0.007727659685445537,,,,86
87,-0.6626498129069188,,0.017173873347122722,-8.84290755556753e-07,0.01155119670006926,,,,,,,,,,,,87
88,,0.01427474634611344,-0.02284052291948869,-0.03523017181416497,,,,0.6719638553719411,,,,,,,,,88
89,,,,,,,-0.021739852383931065,,,-0.6392570475561249,-0.02011279883757739,0.018474118703144558,,,,,89
90,-0.6532520645290242,-0.0057356563532960265,-0.011328238702470237,,,,,,-0.011156256185076558,,,,,,,,90
91,,,-0.005429290864310857,0.008297951334755844,,,,0.6643152400934543,,,,,,0.019616261396553532,,,91
92,,0.0014466845912469843,,0.002768842782175211,,-0.0007768997956030532,,,,,,,,,0.6597078495615505,,92
93,,0.035891341531432676,,0.005559820165606082,,0.012084176705964884,,,,,,,,,0.6526704683840916,,93
94,-0.6582959745656762,,0.009123599127788469,,,,,,-0.0005791746727955108,,,,,0.004321664696835793,,,94
95,,-0.004684719347871196,,,,-0.0014282449443137125,-0.02630063293165551,0.657667648276874,,,,,,,,,95
96,,,,,,,0.0053705335344509456,,,-0.6587193420162679,,0.01878988347861176,0.007565190827730847,,,,96
97,,,-0.012058545129863797,,-0.013577841538509834,,0.006124125215155547,0.6730653174320004,,,,,,,,,97
98,,,,0.013983573177311748,,,,,,,,,0.02108864280342076,-2.2144990801174866e-05,0.658348287259044,,98
99,,,,0.021847774947557623,,,,,,-0.643208756917629,,,-0.0029135314837092714,-0.0028307574186210703,,,99
